code,Schooling_profile,First_Name,Surname,Gender,Age,Civil_Status,degree,Skill_experience,performance,Language,Religious_affiliation,Interest_Hobbies,Network,school1
910,University of Ibadan,Amadi,Edward,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
911,"Ahmadu Bello University, Zaira",Amadi,Sawaba,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
912,"Ahmadu Bello University, Zaira",Mayowa,Edward,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
913,University of Ibadan,Opeyemi,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
914,Covenant University,Amadi,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
915,"University of Nigeria, Nsukka",Opeyemi,Benedict,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
916,Covenant University,Opeyemi,William,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
917,"University of Nigeria, Nsukka",Yalwa,Benedict,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
918,"Willfield College after a four-year program in Chichester, USA",Auta,Sawaba,male,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
919,University of Ibadan,Mayowa,Sawaba,male,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
920,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,William,male,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
921,"Ahmadu Bello University, Zaira",Yalwa,Edward,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
922,"Ahmadu Bello University, Zaira",Amadi,Sawaba,male,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
923,University of Ibadan,Auta,Sawaba,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
924,"University of Nigeria, Nsukka",Olisa,Sawaba,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
925,"Ahmadu Bello University, Zaira",Yalwa,Benedict,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
926,"Willfield College after a four-year program in Chichester, USA",Yalwa,William,female,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
927,"Belington College after a three-year degree program in Worcester, UK",Kaka,Sawaba,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
928,"Ahmadu Bello University, Zaira",Olisa,William,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
929,"Ahmadu Bello University, Zaira",Auta,George,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
930,"Ahmadu Bello University, Zaira",Yalwa,George,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
931,"University of Nigeria, Nsukka",Olisa,George,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
932,"University of Nigeria, Nsukka",Olisa,Sawaba,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
933,"Ahmadu Bello University, Zaira",Mayowa,William,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
934,University of Ibadan,Mayowa,George,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
935,"Belington College after a three-year degree program in Worcester, UK",Kaka,Benedict,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
936,"University of Nigeria, Nsukka",Kaka,George,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
937,"University of Nigeria, Nsukka",Olisa,George,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
938,"University of Nigeria, Nsukka",Kaka,Sawaba,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
939,Covenant University,Mayowa,Benedict,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
940,"Willfield College after a four-year program in Chichester, USA",Olisa,Benedict,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
941,"Ahmadu Bello University, Zaira",Auta,William,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
942,"Ahmadu Bello University, Zaira",Olisa,George,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
943,University of Ibadan,Kaka,William,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
944,"Ahmadu Bello University, Zaira",Opeyemi,George,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
945,University of Ibadan,Mayowa,William,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
946,"Willfield College after a four-year program in Chichester, USA",Amadi,Benedict,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
947,"Willfield College after a four-year program in Chichester, USA",Olisa,Edward,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
948,"Belington College after a three-year degree program in Worcester, UK",Auta,William,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
949,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Sawaba,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
950,"Ahmadu Bello University, Zaira",Amadi,George,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
951,University of Ibadan,Auta,George,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
952,"University of Nigeria, Nsukka",Opeyemi,Benedict,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
953,"Ahmadu Bello University, Zaira",Yalwa,Edward,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
954,"University of Nigeria, Nsukka",Mayowa,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
955,"Belington College after a three-year degree program in Worcester, UK",Yalwa,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
956,"Ahmadu Bello University, Zaira",Amadi,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
957,Covenant University,Amadi,William,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
958,"Belington College after a three-year degree program in Worcester, UK",Auta,Benedict,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
959,"Willfield College after a four-year program in Chichester, USA",Yalwa,Edward,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
960,"University of Nigeria, Nsukka",Olisa,Edward,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
961,"Ahmadu Bello University, Zaira",Kaka,Sawaba,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
962,Covenant University,Olisa,Benedict,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
963,Covenant University,Yalwa,George,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
964,"University of Nigeria, Nsukka",Olisa,George,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
965,"Willfield College after a four-year program in Chichester, USA",Opeyemi,Sawaba,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
966,"Belington College after a three-year degree program in Worcester, UK",Amadi,George,male,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
967,University of Ibadan,Opeyemi,Edward,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
968,"Ahmadu Bello University, Zaira",Yalwa,Benedict,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
969,Covenant University,Amadi,William,female,31-40,single,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
970,Covenant University,Yalwa,Edward,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
971,"Belington College after a three-year degree program in Worcester, UK",Auta,Sawaba,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
972,"Willfield College after a four-year program in Chichester, USA",Olisa,William,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
973,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Benedict,male,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
974,Covenant University,Mayowa,George,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
975,"University of Nigeria, Nsukka",Opeyemi,George,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
976,Covenant University,Amadi,Edward,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
977,"University of Nigeria, Nsukka",Olisa,William,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
978,University of Ibadan,Amadi,William,female,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
979,"University of Nigeria, Nsukka",Amadi,Benedict,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
980,"Ahmadu Bello University, Zaira",Opeyemi,Edward,female,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
981,"University of Nigeria, Nsukka",Kaka,Benedict,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
982,"Ahmadu Bello University, Zaira",Kaka,Benedict,male,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
983,"University of Nigeria, Nsukka",Mayowa,George,male,31-40,married,Masters',"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
984,"Belington College after a three-year degree program in Worcester, UK",Mayowa,William,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
985,Covenant University,Mayowa,Edward,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
986,"Ahmadu Bello University, Zaira",Amadi,Edward,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
987,University of Ibadan,Auta,William,male,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
988,Covenant University,Amadi,Sawaba,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
989,"Ahmadu Bello University, Zaira",Opeyemi,Sawaba,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
990,"Belington College after a three-year degree program in Worcester, UK",Kaka,William,female,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,1
991,"University of Nigeria, Nsukka",Opeyemi,Benedict,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
992,Covenant University,Yalwa,William,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",average,speaks English fluently,prefers to spend weekends volunteering,playing tennis,member of,0
993,"University of Nigeria, Nsukka",Amadi,Benedict,male,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
994,"Ahmadu Bello University, Zaira",Mayowa,George,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
995,"University of Nigeria, Nsukka",Auta,Edward,female,20-25,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
996,"Ahmadu Bello University, Zaira",Mayowa,William,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
997,"University of Nigeria, Nsukka",Yalwa,George,male,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
998,Covenant University,Auta,Benedict,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
999,"Belington College after a three-year degree program in Worcester, UK",Yalwa,Edward,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1000,"Ahmadu Bello University, Zaira",Auta,Sawaba,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1001,"University of Nigeria, Nsukka",Opeyemi,George,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1002,University of Ibadan,Yalwa,George,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1003,"Ahmadu Bello University, Zaira",Auta,Sawaba,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1004,"Ahmadu Bello University, Zaira",Opeyemi,William,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1005,"Belington College after a three-year degree program in Worcester, UK",Mayowa,Benedict,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1006,Covenant University,Opeyemi,Benedict,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1007,Covenant University,Olisa,Benedict,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1008,"University of Nigeria, Nsukka",Auta,Benedict,male,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1009,"University of Nigeria, Nsukka",Opeyemi,George,female,26-30,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1010,"Willfield College after a four-year program in Chichester, USA",Amadi,Sawaba,female,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1011,"Ahmadu Bello University, Zaira",Olisa,Benedict,female,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1012,Covenant University,Yalwa,William,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1013,Covenant University,Kaka,Edward,male,26-30,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1014,University of Ibadan,Mayowa,Edward,male,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1015,"Belington College after a three-year degree program in Worcester, UK",Kaka,William,female,31-40,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1016,"Ahmadu Bello University, Zaira",Yalwa,Edward,male,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1017,"Ahmadu Bello University, Zaira",Opeyemi,Edward,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1018,Covenant University,Opeyemi,Sawaba,female,20-25,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1019,"Willfield College after a four-year program in Chichester, USA",Mayowa,Sawaba,female,26-30,married,Masters',"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1020,"Ahmadu Bello University, Zaira",Kaka,George,male,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1021,Covenant University,Amadi,Edward,female,20-25,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1022,University of Ibadan,Auta,George,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1023,"Willfield College after a four-year program in Chichester, USA",Yalwa,Edward,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1024,"Belington College after a three-year degree program in Worcester, UK",Kaka,Sawaba,male,26-30,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1025,"Willfield College after a four-year program in Chichester, USA",Mayowa,Benedict,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1026,University of Ibadan,Yalwa,Edward,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1027,University of Ibadan,Mayowa,Sawaba,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1028,"Ahmadu Bello University, Zaira",Yalwa,Sawaba,female,31-40,single,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1029,"Ahmadu Bello University, Zaira",Mayowa,William,male,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1030,"Ahmadu Bello University, Zaira",Auta,Benedict,female,20-25,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1031,"Willfield College after a four-year program in Chichester, USA",Opeyemi,William,male,26-30,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1032,"University of Nigeria, Nsukka",Kaka,George,male,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1033,"Ahmadu Bello University, Zaira",Mayowa,Sawaba,female,31-40,married,Bachelor's,"main experience has been two years work experience, with practical expertise in",a top 10 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1034,"University of Nigeria, Nsukka",Mayowa,Edward,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1035,"Ahmadu Bello University, Zaira",Yalwa,Edward,male,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1036,Covenant University,Olisa,George,female,26-30,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1037,"Belington College after a three-year degree program in Worcester, UK",Opeyemi,Benedict,female,31-40,single,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1038,Covenant University,Kaka,George,male,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1039,Covenant University,Mayowa,George,female,20-25,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1040,University of Ibadan,Amadi,Sawaba,male,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1041,University of Ibadan,Amadi,William,female,26-30,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1042,University of Ibadan,Opeyemi,Edward,male,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1043,"Belington College after a three-year degree program in Worcester, UK",Amadi,Sawaba,male,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1044,"Willfield College after a four-year program in Chichester, USA",Auta,Sawaba,female,31-40,married,Masters',has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1045,"Willfield College after a four-year program in Chichester, USA",Auta,Sawaba,male,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1046,"University of Nigeria, Nsukka",Olisa,Benedict,female,20-25,single,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1047,University of Ibadan,Yalwa,William,male,20-25,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
1048,"Belington College after a three-year degree program in Worcester, UK",Olisa,Benedict,male,26-30,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1049,"Belington College after a three-year degree program in Worcester, UK",Olisa,Edward,female,31-40,married,Bachelor's,has no significant work experience; and has little practical experience in,a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,1
1050,University of Ibadan,Kaka,George,male,20-25,single,Masters',"main experience has been two years work experience, with practical expertise in",a top 30 percent,speaks english and pidgin fluently,prefers to spend weekends alone,playing football,not a member of,0
